Sequence	PathDelay	LogicDelay	NetDelay	LUTsLogic	RegsFF	RegsLatch
&scorr;&sweep;&synch2;&synch2;&syn2;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.675	10.055(74%)	3.620(26%)	2093	605	9
&scorr;&sweep;&dc2;&syn2;&dc2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2120	605	9
&scorr;&sweep;&syn2;&syn2;&dc2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.673	10.055(74%)	3.618(26%)	2096	605	9
&scorr;&sweep;&synch2;&syn2;&dc2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.674	10.055(74%)	3.619(26%)	2080	605	9
&scorr;&sweep;&retime;&syn2;&dc2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.673	10.055(74%)	3.618(26%)	2107	605	9
&scorr;&sweep;&dc2;&synch2;&dc2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	14.297	9.172(65%)	5.125(35%)	2090	605	9
&scorr;&sweep;&syn2;&synch2;&dc2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2070	605	9
&scorr;&sweep;&synch2;&synch2;&dc2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.678	10.055(74%)	3.623(26%)	2082	605	9
&scorr;&sweep;&retime;&synch2;&dc2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.679	10.055(74%)	3.624(26%)	2059	605	9
&scorr;&sweep;&dc2;&retime;&dc2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2096	605	9
&scorr;&sweep;&syn2;&retime;&dc2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.673	10.055(74%)	3.618(26%)	2107	605	9
&scorr;&sweep;&retime;&synch2;&syn2;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2089	605	9
&scorr;&sweep;&synch2;&retime;&dc2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.679	10.055(74%)	3.624(26%)	2059	605	9
&scorr;&sweep;&retime;&retime;&dc2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2077	605	9
&scorr;&sweep;&dc2;&dc2;&syn2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.681	10.055(74%)	3.626(26%)	2095	605	9
&scorr;&sweep;&syn2;&dc2;&syn2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.674	10.055(74%)	3.619(26%)	2107	605	9
&scorr;&sweep;&synch2;&dc2;&syn2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2072	605	9
&scorr;&sweep;&retime;&dc2;&syn2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2090	605	9
&scorr;&sweep;&dc2;&syn2;&syn2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2074	605	9
&scorr;&sweep;&syn2;&syn2;&syn2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.829	8.907(65%)	4.922(35%)	2073	605	9
&scorr;&sweep;&synch2;&syn2;&syn2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.684	10.055(74%)	3.629(26%)	2076	605	9
&scorr;&sweep;&retime;&syn2;&syn2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.684	10.055(74%)	3.629(26%)	2085	605	9
&scorr;&sweep;&dc2;&retime;&syn2;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2138	605	9
&scorr;&sweep;&dc2;&synch2;&syn2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2084	605	9
&scorr;&sweep;&syn2;&synch2;&syn2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2037	605	9
&scorr;&sweep;&synch2;&synch2;&syn2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.684	10.055(74%)	3.629(26%)	2071	605	9
&scorr;&sweep;&retime;&synch2;&syn2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2070	605	9
&scorr;&sweep;&dc2;&retime;&syn2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2090	605	9
&scorr;&sweep;&syn2;&retime;&syn2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.684	10.055(74%)	3.629(26%)	2085	605	9
&scorr;&sweep;&synch2;&retime;&syn2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2070	605	9
&scorr;&sweep;&retime;&retime;&syn2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2060	605	9
&scorr;&sweep;&dc2;&dc2;&synch2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.681	10.055(74%)	3.626(26%)	2097	605	9
&scorr;&sweep;&syn2;&dc2;&synch2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.673	10.055(74%)	3.618(26%)	2055	605	9
&scorr;&sweep;&syn2;&retime;&syn2;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.497	3.107(24%)	10.390(76%)	2104	605	9
&scorr;&sweep;&synch2;&dc2;&synch2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2052	605	9
&scorr;&sweep;&retime;&dc2;&synch2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.681	10.055(74%)	3.626(26%)	2106	605	9
&scorr;&sweep;&dc2;&syn2;&synch2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2076	605	9
&scorr;&sweep;&syn2;&syn2;&synch2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.684	10.055(74%)	3.629(26%)	2046	605	9
&scorr;&sweep;&synch2;&syn2;&synch2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2100	605	9
&scorr;&sweep;&retime;&syn2;&synch2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2029	605	9
&scorr;&sweep;&dc2;&synch2;&synch2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.679	10.055(74%)	3.624(26%)	2093	605	9
&scorr;&sweep;&syn2;&synch2;&synch2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.685	10.055(74%)	3.630(26%)	2055	605	9
&scorr;&sweep;&synch2;&synch2;&synch2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.675	10.055(74%)	3.620(26%)	2068	605	9
&scorr;&sweep;&retime;&synch2;&synch2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2038	605	9
&scorr;&sweep;&synch2;&retime;&syn2;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2089	605	9
&scorr;&sweep;&dc2;&retime;&synch2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.681	10.055(74%)	3.626(26%)	2106	605	9
&scorr;&sweep;&syn2;&retime;&synch2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2029	605	9
&scorr;&sweep;&synch2;&retime;&synch2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2038	605	9
&scorr;&sweep;&retime;&retime;&synch2;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2085	605	9
&scorr;&sweep;&dc2;&dc2;&retime;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2096	605	9
&scorr;&sweep;&syn2;&dc2;&retime;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.673	10.055(74%)	3.618(26%)	2107	605	9
&scorr;&sweep;&synch2;&dc2;&retime;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.679	10.055(74%)	3.624(26%)	2059	605	9
&scorr;&sweep;&retime;&dc2;&retime;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2077	605	9
&scorr;&sweep;&dc2;&syn2;&retime;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2090	605	9
&scorr;&sweep;&syn2;&syn2;&retime;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.684	10.055(74%)	3.629(26%)	2085	605	9
&scorr;&sweep;&retime;&retime;&syn2;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.672	10.055(74%)	3.617(26%)	2113	605	9
&scorr;&sweep;&synch2;&syn2;&retime;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2070	605	9
&scorr;&sweep;&retime;&syn2;&retime;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2060	605	9
&scorr;&sweep;&dc2;&synch2;&retime;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.681	10.055(74%)	3.626(26%)	2106	605	9
&scorr;&sweep;&syn2;&synch2;&retime;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2029	605	9
&scorr;&sweep;&synch2;&synch2;&retime;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2038	605	9
&scorr;&sweep;&retime;&synch2;&retime;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2085	605	9
&scorr;&sweep;&dc2;&retime;&retime;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2077	605	9
&scorr;&sweep;&syn2;&retime;&retime;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2060	605	9
&scorr;&sweep;&synch2;&retime;&retime;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2085	605	9
&scorr;&sweep;&retime;&retime;&retime;&synch2;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.469	3.107(24%)	10.362(76%)	2065	605	9
&scorr;&sweep;&dc2;&dc2;&synch2;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2136	605	9
&scorr;&sweep;&dc2;&dc2;&dc2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	14.347	9.172(64%)	5.175(36%)	2166	605	9
&scorr;&sweep;&syn2;&dc2;&dc2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	14.329	9.172(65%)	5.157(35%)	2171	605	9
&scorr;&sweep;&synch2;&dc2;&dc2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.681	10.055(74%)	3.626(26%)	2111	605	9
&scorr;&sweep;&retime;&dc2;&dc2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	14.345	9.172(64%)	5.173(36%)	2166	605	9
&scorr;&sweep;&dc2;&syn2;&dc2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2188	605	9
&scorr;&sweep;&syn2;&syn2;&dc2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.674	10.055(74%)	3.619(26%)	2149	605	9
&scorr;&sweep;&synch2;&syn2;&dc2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.684	10.055(74%)	3.629(26%)	2160	605	9
&scorr;&sweep;&retime;&syn2;&dc2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	14.329	9.172(65%)	5.157(35%)	2153	605	9
&scorr;&sweep;&dc2;&synch2;&dc2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	14.313	9.172(65%)	5.141(35%)	2140	605	9
&scorr;&sweep;&syn2;&synch2;&dc2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2099	605	9
&scorr;&sweep;&syn2;&dc2;&synch2;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.673	10.055(74%)	3.618(26%)	2122	605	9
&scorr;&sweep;&synch2;&synch2;&dc2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2116	605	9
&scorr;&sweep;&retime;&synch2;&dc2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.822	8.907(65%)	4.915(35%)	2127	605	9
&scorr;&sweep;&dc2;&retime;&dc2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	14.345	9.172(64%)	5.173(36%)	2166	605	9
&scorr;&sweep;&syn2;&retime;&dc2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	14.329	9.172(65%)	5.157(35%)	2153	605	9
&scorr;&sweep;&synch2;&retime;&dc2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.822	8.907(65%)	4.915(35%)	2127	605	9
&scorr;&sweep;&retime;&retime;&dc2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	14.354	9.172(64%)	5.182(36%)	2158	605	9
&scorr;&sweep;&dc2;&dc2;&syn2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2210	605	9
&scorr;&sweep;&syn2;&dc2;&syn2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.684	10.055(74%)	3.629(26%)	2140	605	9
&scorr;&sweep;&synch2;&dc2;&syn2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2122	605	9
&scorr;&sweep;&retime;&dc2;&syn2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2146	605	9
&scorr;&sweep;&synch2;&dc2;&synch2;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2086	605	9
&scorr;&sweep;&dc2;&syn2;&syn2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2138	605	9
&scorr;&sweep;&syn2;&syn2;&syn2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.497	3.107(24%)	10.390(76%)	2104	605	9
&scorr;&sweep;&synch2;&syn2;&syn2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2089	605	9
&scorr;&sweep;&retime;&syn2;&syn2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.672	10.055(74%)	3.617(26%)	2113	605	9
&scorr;&sweep;&dc2;&synch2;&syn2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2119	605	9
&scorr;&sweep;&syn2;&synch2;&syn2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2108	605	9
&scorr;&sweep;&synch2;&synch2;&syn2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2098	605	9
&scorr;&sweep;&retime;&synch2;&syn2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2085	605	9
&scorr;&sweep;&dc2;&retime;&syn2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2146	605	9
&scorr;&sweep;&syn2;&retime;&syn2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.672	10.055(74%)	3.617(26%)	2113	605	9
&scorr;&sweep;&retime;&dc2;&synch2;&syn2;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2119	605	9
&scorr;&sweep;&synch2;&retime;&syn2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2085	605	9
&scorr;&sweep;&retime;&retime;&syn2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	14.315	9.172(65%)	5.143(35%)	2100	605	9
&scorr;&sweep;&dc2;&dc2;&synch2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2096	605	9
&scorr;&sweep;&syn2;&dc2;&synch2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.673	10.055(74%)	3.618(26%)	2107	605	9
&scorr;&sweep;&synch2;&dc2;&synch2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.679	10.055(74%)	3.624(26%)	2059	605	9
&scorr;&sweep;&retime;&dc2;&synch2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2077	605	9
&scorr;&sweep;&dc2;&syn2;&synch2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2090	605	9
&scorr;&sweep;&syn2;&syn2;&synch2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.684	10.055(74%)	3.629(26%)	2085	605	9
&scorr;&sweep;&synch2;&syn2;&synch2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.683	10.055(74%)	3.628(26%)	2070	605	9
&scorr;&sweep;&retime;&syn2;&synch2;&retime;&retime;&dch -f; &ps; &if -W 300 -v; &mfs; &ps -l	13.682	10.055(74%)	3.627(26%)	2060	605	9
